1,PropertyID,Street,City   ,ZipCode,Legal,SEV,Status,Closing date
68,22028612,14530 HARTWELL,DETROIT,48227,"E HARTWELL 44 VIGNOE PARK SUB L40 P59 PLATS, W C R 22/98 35 X 108","$9,500 ",Active, 10-23-018 9:15:00 AM
69,22029198,15387 HARTWELL,DETROIT,48227,"W HARTWELL 44 GLENCRAFT SUB L35 P50 PLATS, W C R 22/113 35 X 113",$500 ,Active, 10-23-018 9:15:00 AM
70,22029356,11651 HARTWELL,DETROIT,48227,"W HARTWELL S 10 FT 49 N 30 FT 48 MONNIER HTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 40 X 125","$6,000 ",Active, 10-23-018 9:15:00 AM
71,22029388,9967 HARTWELL,DETROIT,48227,"W HARTWELL 95 BUCKINGHAM PARK SUB L34 P20 PLATS, W C R 22/572 40 X 125","$6,600 ",Active, 10-23-018 9:15:00 AM
72,22029736,13526 PLYMOUTH,DETROIT,48227,"E SCHAEFER HWY 43 MONNIER HTS THOS W WARDS SUB L29 P16 PLATS, W C R 22/583 61.44 IRREG","$29,900 ",Active, 10-23-018 9:15:00 AM
73,1007497,19530 RALSTON,DETROIT,48203,"S LANTZ W 226 STATE FAIR L28 P26 PLATS, W C R 1/182 32.17 IRREG","$5,900 ",Active, 10-23-018 9:15:00 AM
74,1009030,19127 DERBY,DETROIT,48203,"W DERBY 260 LINDALE PARK L32 P94 PLATS, W C R 1/177 43.34 X 105","$10,000 ",Active, 10-23-018 9:15:00 AM
75,1009074,19464 EXETER,DETROIT,48203,"E EXETER 80 PREMIER L35 P72 PLATS, W C R 1/183 30 X 105","$2,900 ",Active, 10-23-018 9:15:00 AM
76,1009105,19327 EXETER,DETROIT,48203,"W EXETER S 23 FT 164 N 15 FT 165 LINDALE PARK L32 P94 PLATS, W C R 1/177 38 X 105",$300 ,Active, 10-23-018 9:15:00 AM
77,1009113,19205 EXETER,DETROIT,48203,"W EXETER 173 LINDALE PARK L32 P94 PLATS, W C R 1/177 30 X 105",$200 ,Active, 10-23-018 9:15:00 AM
78,1009192,19463 DANBURY,DETROIT,48203,"W DANBURY 30 PREMIER L35 P72 PLATS, W C R 1/183 30 X 105",$700 ,Active, 10-23-018 9:15:00 AM
79,1009210,19351 DANBURY,DETROIT,48203,"W DANBURY 86 LINDALE PARK L32 P94 PLATS, W C R 1/177 30 X 105",$200 ,Active, 10-23-018 9:15:00 AM
80,1009244,19182 CHARLESTON,DETROIT,48203,"E CHARLESTON 48 LINDALE PARK L32 P94 PLATS, W C R 1/177 30 X 105",$200 ,Active, 10-23-018 9:15:00 AM
81,1009252,19230 CHARLESTON,DETROIT,48203,"E CHARLESTON 56 LINDALE PARK L32 P94 PLATS, W C R 1/177 30 X 105",$200 ,Active, 10-23-018 9:15:00 AM
82,4002508,9121 SECOND,DETROIT,48202,"3 expiring 12/30/2014. Property exempt from Ad Valorem taxes and assessed pursuant to PA 261 of 2003 expiring 12/30/2014. N CLAIRMOUNT E 44 FT OF W 88 FT 17 AND VAC BANCROFT AVE IN REAR HUBBARD & DINGWALLS SUB L10 P84 PLATS, W C R 4/89 44 X 139",$800 ,Active, 10-23-018 9:15:00 AM
83,5004546,8449 CAMERON,DETROIT,48211,"W CAMERON 1 MERSINOS SUB L9 P3 PLATS, W C R 5/106 40 X 100","$14,400 ",Active, 10-23-018 9:15:00 AM
84,6003112,1236 BURLINGAME,DETROIT,48206,"N BURLINGAME E 5 FT 17 18 W 5 FT 19 JUDSON BRADWAYS BURLINGAME AVE SUB L27 P6 PLATS, W C R 6/121 40 X 126","$12,300 ",Active, 10-23-018 9:15:00 AM
85,6003538,1642 FULLERTON,DETROIT,48238,"N FULLERTON 68 OAKMAN & GRAYS SUB NO 1 L27 P28 PLATS, W C R 6/165 30 X 125","$4,700 ",Active, 10-23-018 9:15:00 AM
86,6003582,1691 LESLIE,DETROIT,48238,"S LESLIE 46 OAKMAN & GRAYS SUB NO 1 L27 P28 PLATS, W C R 6/165 30 X 125",$400 ,Active, 10-23-018 9:15:00 AM
87,6003689,1571 BUENA VISTA,DETROIT,48238,"S BUENA VISTA 142 R OAKMANS GLENDALE AVE SUB L29 P93 PLATS, W C R 6/164 30 X 120","$9,400 ",Active, 10-23-018 9:15:00 AM
88,6003751,1577 TYLER,DETROIT,48238,"S TYLER 57 ROBERT OAKMANS GLENDALE AVE SUB L29 P93 PLATS, W C R 6/164 30 X 120","$6,100 ",Active, 10-23-018 9:15:00 AM
89,6003849,1627 W DAVISON,DETROIT,48238,"S DAVISON 73 EXC DAVISON AVE AS WD OAKMAN BOULEVARD SUB L29 P74 PLATS, W C R 6/163 30.25 IRREG","$9,100 ",Active, 10-23-018 9:15:00 AM
90,6004095,1511 FORD,DETROIT,48238,"S FORD 42 R OAKMANS FORD AVENUE SUB L29 P33 PLATS, W C R 6/159 30 X 100","$5,400 ",Active, 10-23-018 9:15:00 AM
91,6006325,12701 WOODROW WILSON,DETROIT,48238,"W WOODROW WILSON E 75FT OF 22,23,24 OAKMAN & GRAYS SUB NO 1 L27 P28 PLATS, W C R 6/165 97.75 X 75","$6,100 ",Active, 10-23-018 9:15:00 AM
92,6006333,12501 WOODROW WILSON,DETROIT,48238,"W WOODROW WILSON 5 THRU 1 METROPOLE SUB NO 1 L27 P26 PLATS, W C R 6/167 135 X 120","$8,100 ",Active, 10-23-018 9:15:00 AM
93,7001518,1574 LYMAN PL,DETROIT,48211,"S LYMAN 20 BISSELL & POSTS SUB L8 P60 PLATS, W C R 7/67 24.48 X 95","$1,900 ",Active, 10-23-018 9:15:00 AM
94,8002574,1639 TAYLOR,DETROIT,48206,"S TAYLOR 103 STOTTS SUB L30 P61 PLATS, W C R 8/117 30 X 127",$500 ,Active, 10-23-018 9:15:00 AM
95,8003135,1699 GLYNN CT,DETROIT,48206,"S GLYNN COURT 68 SULLIVAN-CAMPBELL SUB L31 P60 PLATS, W C R 8/127 33.4 IRREG","$11,100 ",Active, 10-23-018 9:15:00 AM
96,8004394,2330 TYLER,DETROIT,48238,"N TYLER 259 R OAKMANS INDIANDALE SUB L34 P91 PLATS, W C R 8/153 35 X 110","$10,800 ",Active, 10-23-018 9:15:00 AM
97,8004757,2023 FORD,DETROIT,48238,"S FORD 393 R OAKMANS 12TH ST SUB L34 P90 PLATS, W C R 8/145 35 X 100",10600,Active, 10-23-018 9:15:00 AM
98,8004890,1976 LABELLE,DETROIT,48238,"N LABELLE 587 R OAKMANS 12TH ST SUB L34 P90 PLATS, W C R 8/145 35 X 100","$12,800 ",Active, 10-23-018 9:15:00 AM
99,8005406,1940 LOUISE,DETROIT,48203,"N LOUISE 547 HAMILTON PK SUB L28 P52 PLATS, W C R 8/172 30 X 112","$5,600 ",Active, 10-23-018 9:15:00 AM
100,8005452,1934 FLORENCE,DETROIT,48221,"N FLORENCE 468 HAMILTON PK SUB L28 P52 PLATS, W C R 8/172 30 X 112","$7,300 ",Active, 10-23-018 9:15:00 AM
101,8008987,15526 WABASH,DETROIT,48238,"E WABASH 151 DUMONT SUB L29 P9 PLATS, W C R 8/160 30 X 103","$4,500 ",Active, 10-23-018 9:15:00 AM
102,8008995,15574 WABASH,DETROIT,48238,"E WABASH 143 DUMONT SUB L29 P9 PLATS, W C R 8/160 30 X 103","$4,900 ",Active, 10-23-018 9:15:00 AM
103,8009607,16327 LOG CABIN,DETROIT,48203,"W LOG CABIN 140 LOG CABIN HEIGHTS SUB L31 P52 PLATS, W C R 8/171 30 X 100","$7,200 ",Active, 10-23-018 9:15:00 AM
104,8009646,15629 LOG CABIN,DETROIT,48238,"W LOG CABIN 51 OAKMAN & MOROSS SUB L26 P100 PLATS, W C R 8/161 30 X 125","$4,600 ",Active, 10-23-018 9:15:00 AM
105,8010489,15325 LA SALLE BLVD,DETROIT,48238,"W LASALLE 5 R OAKMANS NORMILE AVE SUB L32 P57 PLATS, W C R 8/162 30 X 128.84A","$10,500 ",Active, 10-23-018 9:15:00 AM
106,8010769,15880 LINWOOD,DETROIT,48221,"E LINWOOD 289 R OAKMANS PURITAN PARK SUB L34 P17 PLATS, W C R 8/158 35 X 118","$1,400 ",Active, 10-23-018 9:15:00 AM
